participant.code,subsession.round_number,cash_before_work,cash_before_work_type,work_type,work_profit,work_profit_type,cash_before_health_invest,cash_before_health_invest_type,health_invest_type,health_invest_profit,health_invest_profit_type,cash_before_repay,cash_before_repay_type,repay_type,repay_profit,repay_profit_x,repay_profit_type,cash_before_loan,cash_before_loan_type,loan_type,loan_profit,loan_profit_type,cash_before_invest,cash_before_invest_type,invest_type,invest_profit,invest_profit_type,cash_before_venture,cash_before_venture_type,venture_type,venture_profit,venture_profit_type,cash_before_insurance,cash_before_insurance_type,insurance_type,insurance_profit,insurance_profit_type,cash_before_lottery,cash_before_lottery_type,player.lucky_invest,lottery_type,player.lucky,lottery_profit,lottery_profit_type,cash_before_impact,cash_before_impact_type,impact_type,player.crash_type,impact_profit,impact_profit_type,cash_before_health_impact,cash_before_health_impact_type,health_impact_type,player.health_type,health_impact_profit,health_impact_profit_type,cash_before_preference,cash_before_preference_type,preference_type,preference_profit,preference_profit_type,cash_before_patience,cash_before_patience_type,patience_type,patience_profit,patience_profit_type,player.loss,player.cash,player.total_loans,total,player.treatments,treat5
6l4hmpzv,10,26.14,1,0,15,2,41.14,1,1,-5,0,36.14,1,1,-9,-9,0,27.14,1,1,15.9,2,43.04,1,1,6,2,49.04,1,1,20,2,69.04,1,1,-6.904,0,62.136,1,1,1,0,-1,0,61.14,1,0,无,0,1,61.14,1,1,小,-7,0,54.14,1,6,8,2,62.14,1,1,0,1,0,61.14,16.14,8.4,2,0
4c16txm9,10,-113.8,0,0,18,2,-95.8,0,0,0,1,-95.8,0,0,0,0,1,-95.8,0,0,0,1,-95.8,0,0,0,1,-95.8,0,0,0,1,-95.8,0,0,0,1,-95.8,0,1,1,0,-1,0,-96.8,0,0,无,0,1,-96.8,0,2,中,-30,0,-126.8,0,6,8,2,-118.8,0,1,0,1,0,0,0,0,2,0
4de7ayta,10,133.16,1,0,9,2,142.16,1,1,-5,0,137.16,1,1,-16.247,-16.25,0,120.913,1,1,24.18,2,145.093,1,1,11,2,156.093,1,1,-30,0,126.093,1,1,-12.6093,0,113.4837,1,0,0,0,0,1,113.48,1,0,无,0,1,113.48,1,1,小,-7,0,106.48,1,6,8,2,114.48,1,0,4,2,0,118.48,24.18,14.77,2,0
o7pqerl1,10,37.28,1,0,18,2,55.28,1,1,-5,0,50.28,1,1,-5.85,-5.85,0,44.43,1,0,0,1,44.43,1,1,1.5,2,45.93,1,1,-10,0,35.93,1,1,-3.593,0,32.337,1,1,1,0,-1,0,31.34,1,0,无,0,1,31.34,1,1,小,-7,0,24.34,1,6,0,1,24.34,1,1,5.6,2,0,29.94,0,5.32,2,0
7voc4ywi,10,7.2,1,0,12,2,19.2,1,1,-5,0,14.2,1,0,0,0,1,14.2,1,0,0,1,14.2,1,1,0.63,2,14.83,1,1,-1.91,0,12.92,1,1,-1.292,0,11.628,1,0.03,1,0,-0.03,0,11.6,1,0,无,0,1,11.6,1,0,无,0,1,11.6,1,3,1.4,2,13,1,1,0,1,0,12,0,0,2,0
4qo41x6y,10,-174.6,0,0,-30,0,-204.6,0,0,0,1,-204.6,0,0,0,0,1,-204.6,0,0,0,1,-204.6,0,0,0,1,-204.6,0,0,0,1,-204.6,0,0,0,1,-204.6,0,1,1,0,-1,0,-205.6,0,2,中,-10,0,-215.6,0,2,中,-30,0,-245.6,0,5,0.8,2,-244.8,0,1,0,1,0,0,0,0,2,0
g004gng8,10,-179.2,0,0,15,2,-164.2,0,0,0,1,-164.2,0,0,0,0,1,-164.2,0,0,0,1,-164.2,0,0,0,1,-164.2,0,0,0,1,-164.2,0,0,0,1,-164.2,0,1,1,0,-1,0,-165.2,0,0,无,0,1,-165.2,0,2,中,-30,0,-195.2,0,4,1.2,2,-194,0,1,0,1,0,0,0,0,2,0
ttjy4cwz,11,0,0,0,18,2,18,1,1,-5,0,13,1,0,0,0,1,13,1,1,0.78,2,13.78,1,1,-0.5,0,13.28,1,1,-6.64,0,6.64,1,1,-0.664,0,5.976,1,1,1,0,-1,0,4.98,1,0,无,0,1,4.98,1,0,无,0,1,4.98,1,2,12,2,16.98,1,1,5.2,2,0,22.18,0.78,0,2,0
idr031u6,11,71.43,1,0,27,2,98.43,1,2,-10,0,88.43,1,0,0,0,1,88.43,1,0,0,1,88.43,1,1,1.5,2,89.93,1,1,4.5,2,94.43,1,1,-9.443,0,84.987,1,1,1,0,-1,0,83.99,1,0,无,0,1,83.99,1,1,小,-5,0,78.99,1,3,12.5,2,91.49,1,0,10.6,2,0,102.09,0,0,2,0
s1ftoyto,11,0,0,0,-30,0,-30,0,0,0,1,-30,0,0,0,0,1,-30,0,0,0,1,-30,0,0,0,1,-30,0,0,0,1,-30,0,0,0,1,-30,0,0,0,0,0,1,-30,0,1,小,-5,0,-35,0,0,无,0,1,-35,0,4,15,2,-20,0,1,6.6,2,1,-13.4,0,0,2,0
